[06:00:50] window up for master Panelpress
[06:01:59] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:00] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:01] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:02] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:03] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:04] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:05] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:06] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:07] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:08] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:09] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:10] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:11] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:12] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:13] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:14] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:15] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:16] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:17] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:18] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:19] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:20] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:21] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:22] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:23] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:24] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:25] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:26] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:27] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:28] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:29] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:30] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:31] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:32] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:33] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:34] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:35] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:36] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:37] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:38] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:39] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:40] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:41] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:42] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:43] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:44] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:45] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:46] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:47] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:48] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:49] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:50] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:51] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:52] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:53] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:54] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:55] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:56] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:57] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:58] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:02:59] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:00] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:01] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:02] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:03] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:04] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:05] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:06] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:07] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:08] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:09] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:10] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:11] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:12] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:13] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:14] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:15] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:16] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:17] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:18] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:19] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:20] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:21] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:22] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:23] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:24] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:25] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:26] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:27] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:28] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:29] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:30] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:31] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:32] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:33] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:34] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:35] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:36] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:37] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:38] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:39] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:40] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:41] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:42] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:43] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:44] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:45] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:46] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:47] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:48] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:49] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:50] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:51] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:52] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:53] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:54] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:55] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:56] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:57] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:58] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:03:59] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:04:00] summary='' report='' rows=[] dismiss='Dismiss' checks=[]
[06:04:01] summary='' report='Working -- the server is being asked. This can take a few seconds.' rows=[] dismiss='Dismiss' checks=[]
[06:04:02] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:03] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:04] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:05] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:06] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:07] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:08] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:09] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:10] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:11] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:12] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:13] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:14] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:15] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:16] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:17] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:18] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:19] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:20] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:21] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:22] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:23] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:24] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:25] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:26] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:27] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:28] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:29] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:30] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:31] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:32] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:33] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:34] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:35] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:36] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:37] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:38] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:39] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:40] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:41] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:42] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:43] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:44] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:45] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:46] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:47] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:48] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:49] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:50] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:51] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:52] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:53] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
[06:04:54] summary="This character's party has no bots in it yet." report='' rows=[] dismiss='Dismiss' checks=['ok server_installed', 'ok world_running', 'ok engine_cloned', 'ok engine_in_binary', 'ok conf_present', 'ok engine_enabled', 'ok script_path', 'ok deployed', 'ok bridge_answered']
